benchmark	path	run	metric	value_ms	status
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.parse-args	0.536	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.cli.load-package	1.303	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-graph	1.745	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-order	0.217	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.normalize-type-families	0.997	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.reject-generalized-class-features	0.309	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.resolve	12.202	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.modules.distinct	0.273	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.Prelude.cache	653.941	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module-interface.Prelude	0.258	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.preflight	0.298	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.import-scope	0.311	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-data	0.303	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-classes	0.381	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-defs	1.574	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.local-values	0.467	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.scopes	0.459	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.validations	0.313	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.derived-instances	0.310	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-skeletons	0.306	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.finalize-context	0.675	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputNil	12.774	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceInputCons	40.645	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceSymbol	15.826	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.constructor_SourceUnknown	10.200	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.constructor-bindings	81.461	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.instance_methods_group_finalize	0.293	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.module.ParserParitySource.instance-bindings	0.836	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputNil_lower	0.506	1
parser-library	test/programs/compiler-parser-parity/parser-library	1	program.check.operation.ParserParitySource.def_sourceInputCons_lower	0.307	1
